시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부
초등학교,서울교대부설,서울특별시 서초구 서초구 서초중앙로 96,서울특별시 서초구 서초동 1650,37.490843,127.01769,서울특별시 서초구,서초경찰서,설치
어린이집,서초연꽃,서울특별시 서초구 서초구 사임당로19길 51,서울특별시 서초구 서초동 1642-15,37.491767,127.018079,서울특별시 서초구,서초경찰서,설치
어린이집,서초구립 서울교육대학교사향,서울특별시 서초구 서초구서초중앙로 96,서울특별시 서초구 서초동 1642-15,37.491767,127.018079,서울특별시 서초구,서초경찰서,설치
어린이집,서초남서울,서울특별시 서초구 서초구 반포대로 310-5,서울특별시 서초구 잠원동 76-9,37.506831,127.000883,서울특별시 서초구,서초경찰서,설치
어린이집,남태령,서울특별시 서초구 전원말길 6,서울특별시 서초구 방배동 2877,37.465897,126.98878,서울특별시 서초구,방배경찰서,설치
특수학교,다니엘학교,서울특별시 서초구 헌릉로468길 21-16,서울특별시 서초구 내곡동 1-1328,37.460163,127.092318,서울특별시 서초구,서초경찰서,설치
유치원,서울청계숲,서울특별시 서초구 청계산로11길 14,서울특별시 서초구 신원동 247,37.447737,127.057744,서울특별시 서초구,서초경찰서,설치
어린이집,서초지빈,서울특별시 서초구 청계산로11길 10,서울특별시 서초구 신원동 207,37.447495,127.057171,서울특별시 서초구,서초경찰서,설치
외국인학교,서울프랑스학교,서울특별시 서초구 서래로 7,서울특별시 서초구 반포동 98-2,37.496077,126.998075,서울특별시 서초구,서초경찰서,설치
초등학교,서이,서울특별시 서초구 서운로 35,서울특별시 서초구 서초동 1334-2,37.491566,127.025619,서울특별시 서초구,서초경찰서,설치
초등학교,언남,서울특별시 서초구 헌릉로8길42,서울특별시 서초구 내곡동 122,37.453898,127.061885,서울특별시 서초구,서초경찰서,설치
유치원,언남초교병설,서울특별시 서초구 헌릉로8길 42,서울특별시 서초구 내곡동 122,37.453898,127.061885,서울특별시 서초구,서초경찰서,설치
초등학교,우면,서울특별시 서초구 태봉로 59,서울특별시 서초구 우면동 690,37.464709,127.023746,서울특별시 서초구,서초경찰서,설치
유치원,우면초교병설,서울특별시 서초구 태봉로 59,서울특별시 서초구 우면동 690,37.464709,127.023746,서울특별시 서초구,서초경찰서,설치
초등학교,우암,서울특별시 서초구 바우뫼로7길 38,서울특별시 서초구 우면동 58,37.472296,127.023722,서울특별시 서초구,서초경찰서,설치
유치원,우암초교병설,서울특별시 서초구 바우뫼로7길 38,서울특별시 서초구 우면동 58,37.472296,127.023722,서울특별시 서초구,서초경찰서,설치
초등학교,이수,서울특별시 서초구 방배천로4길 23,서울특별시 서초구 방배동 468-6,37.47832,126.984416,서울특별시 서초구,서초경찰서,설치
유치원,구룡,서울특별시 서초구 논현로5길 31-11,서울특별시 서초구 양재동 399-1,37.471103,127.049171,서울특별시 서초구,서초경찰서,설치
초등학교,방현,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배동 산81-1,37.476504,126.990074,서울특별시 서초구,방배경찰서,설치
초등학교,서일,서울특별시 서초구 남부순환로339길 38,서울특별시 서초구 서초동 1436-8,37.485296,127.022161,서울특별시 서초구,서초경찰서,설치
초등학교,신중,서울특별시 서초구 남부순환로317길15,서울특별시 서초구 서초동 1466-5,37.479935,127.010261,서울특별시 서초구,서초경찰서,설치
초등학교,양재,서울특별시 서초구 바우뫼로18길 14,서울특별시 서초구 양재동 101,37.474164,127.031894,서울특별시 서초구,서초경찰서,설치
유치원,천사,서울특별시 서초구 바우뫼로89 ,서울특별시 서초구 양재동 154-2,37.474356,127.03118,서울특별시 서초구,서초경찰서,설치
초등학교,방일,서울특별시 서초구 방배로18길 52,서울특별시 서초구 방배동 167-4,37.485204,126.998851,서울특별시 서초구,서초경찰서,설치
초등학교,잠원,서울특별시 서초구 신반포로16길 15-25,서울특별시 서초구 반포동 17,37.501859,126.998053,서울특별시 서초구,방배경찰서,설치
유치원,석문,서울특별시 서초구 서초대로64길 73,서울특별시 서초구 서초동 1634-1,37.492364,127.021946,서울특별시 서초구,서초경찰서,설치
유치원,새성민,서울특별시 서초구 효령로 110,서울특별시 서초구 방배동 981-2,37.480657,126.996119,서울특별시 서초구,방배경찰서,설치
어린이집,서초,서울특별시 서초구 남부순환로 2271-1,서울특별시 서초구 방배동 1027-6,37.47463,127.000248,서울특별시 서초구,방배경찰서,설치
어린이집,반포1동,서울특별시 서초구 신반포로 318,서울특별시 서초구 반포동 703-1,37.509959,127.018467,서울특별시 서초구,서초경찰서,설치
어린이집,장미,서울특별시 서초구 남부순환로 2543-5,서울특별시 서초구 서초동 1353-3,37.484157,127.028411,서울특별시 서초구,서초경찰서,설치
초등학교,신동,서울특별시 서초구 나루터로 15,서울특별시 서초구 잠원동 54-5,37.517128,127.011389,서울특별시 서초구,서초경찰서,설치
유치원,하나,서울특별시 서초구 잠원로8길 13,서울특별시 서초구 잠원동 56-3,37.515207,127.010218,서울특별시 서초구,서초경찰서,설치
어린이집,푸르니서초,서울특별시 서초구 효령로67길 4,서울특별시 서초구 서초동 1607-5,37.48744,127.023817,서울특별시 서초구,서초경찰서,설치
어린이집,반포,서울특별시 서초구 사평대로20길 54,서울특별시 서초구 반포동 107-87,37.497029,126.996775,서울특별시 서초구,방배경찰서,설치
어린이집,반포서래,서울특별시 서초구 사평대로 28길 70,서울특별시 서초구 반포동 74-7,37.497438,127.000304,서울특별시 서초구,방배경찰서,설치
초등학교,서초,서울특별시 서초구 서운로 178,서울특별시 서초구 서초동 1310-6,37.499048,127.024893,서울특별시 서초구,서초경찰서,설치
유치원,예원,서울특별시 서초구 태봉로2길 21,서울특별시 서초구 서초동 1685,37.500427,127.015475,서울특별시 서초구,서초경찰서,설치
어린이집,서정,서울특별시 서초구 방배천로 48,서울특별시 서초구 방배동 455-11,37.480668,126.982809,서울특별시 서초구,서초경찰서,설치
어린이집,서초구청직장,서울특별시 서초구 남부순환로347길 46,서울특별시 서초구 서초동 1360-26,37.486422,127.03142,서울특별시 서초구,서초경찰서,설치
어린이집,서초성모,서울특별시 서초구 고무래로8길 21,서울특별시 서초구 반포동 54-9,37.501027,127.009552,서울특별시 서초구,방배경찰서,설치
어린이집,하나푸르니 반포,서울특별시 서초구 서초중앙로33길 10,서울특별시 서초구 반포동 53-6,37.501346,127.010748,서울특별시 서초구,방배경찰서,설치
어린이집,샤이닝키즈,서울특별시 서초구 서초대로74길 30,서울특별시 서초구 서초동 1326-17,37.495091,127.026805,서울특별시 서초구,서초경찰서,설치
어린이집,서초1삼성,서울특별시 서초구 서초대로74길11 ,서울특별시 서초구 서초동 1320-10,37.49644,127.026927,서울특별시 서초구,서초경찰서,설치
어린이집,서초2삼성,서울특별시 서초구 서초대로74길 4,서울특별시 서초구 서초동 1321-15,37.496741,127.025752,서울특별시 서초구,서초경찰서,설치
초등학교,계성,서울특별시 서초구 신반포로19길 23,서울특별시 서초구 반포동 6-1,37.504915,126.996824,서울특별시 서초구,방배경찰서,설치
외국인학교,덜위치칼리지서울영국학교,서울특별시 서초구 신반포로15길 6,서울특별시 서초구 반포동 5-1,37.504399,126.994906,서울특별시 서초구,서초경찰서,설치
어린이집,신반포(보육지원센터),서울특별시 서초구 신반포로19길 26,서울특별시 서초구 반포동 3-1,37.505453,126.996811,서울특별시 서초구,서초경찰서,설치
유치원,영생,서울특별시 서초구 신반포로19길 30,서울특별시 서초구 반포동 4-10,37.505005,126.995664,서울특별시 서초구,방배경찰서,설치
초등학교,우솔,서울특별시 서초구 양재대로2길 74,서울특별시 서초구 우면동 774,37.456904,127.019323,서울특별시 서초구,서초경찰서,설치
유치원,우솔초교병설,서울특별시 서초구 양재대로2길 74,서울특별시 서초구 우면동 774,37.457284,127.019762,서울특별시 서초구,서초경찰서,설치
유치원,서초,서울특별시 서초구 양재대로2길 100-64,서울특별시 서초구 우면동 769,37.456085,127.016217,서울특별시 서초구,서초경찰서,설치
초등학교,서원,서울특별시 서초구 고무래로 63,서울특별시 서초구 반포동 30-8,37.502438,127.014621,서울특별시 서초구,서초경찰서,설치
초등학교,원명,서울특별시 서초구 고무래로 90-6,서울특별시 서초구 서초동 1685-1,37.500776,127.016706,서울특별시 서초구,서초경찰서,설치
유치원,원명초교병설,서울특별시 서초구 고무래로 90-6,서울특별시 서초구 서초동 1685-1,37.500776,127.016706,서울특별시 서초구,서초경찰서,설치
초등학교,서래,서울특별시 서초구 방배로 260,서울특별시 서초구 방배동 771,37.496405,126.990157,서울특별시 서초구,방배경찰서,설치
유치원,서래초교병설,서울특별시 서초구 방배로 260,서울특별시 서초구 방배동 771,37.496405,126.990157,서울특별시 서초구,방배경찰서,설치
초등학교,방배,서울특별시 서초구 방배중앙로13길 26,서울특별시 서초구 방배동 861-1,37.486764,126.987137,서울특별시 서초구,방배경찰서,설치
유치원,방배초교병설,서울특별시 서초구 방배중앙로13길 26,서울특별시 서초구 방배동 861-1,37.486764,126.987137,서울특별시 서초구,방배경찰서,설치
유치원,새순,서울특별시 서초구 서초대로15길57,서울특별시 서초구 방배동 831-12,37.489064,126.98858,서울특별시 서초구,방배경찰서,설치
어린이집,아람마주이야기,서울특별시 서초구 동광로12길 12,서울특별시 서초구 방배동 822-29,37.490801,126.98651,서울특별시 서초구,방배경찰서,설치
어린이집,아가야,서울특별시 서초구 방배중앙로15길 22,서울특별시 서초구 방배동 829-18,37.488085,126.987072,서울특별시 서초구,서초경찰서,설치
초등학교,반포,서울특별시 서초구 신반포로 55-4,서울특별시 서초구 반포동 937,37.502485,126.99174,서울특별시 서초구,방배경찰서,설치
유치원,반포초교병설,서울특별시 서초구 신반포로 55-4,서울특별시 서초구 반포동 937,37.502485,126.99174,서울특별시 서초구,방배경찰서,설치
초등학교,원촌,서울특별시 서초구 사평대로45길 26,서울특별시 서초구 반포동 21,37.506186,127.012568,서울특별시 서초구,서초경찰서,설치
어린이집,서초구립 반포1동주민센터,서울특별시 서초구 사평대로 273,서울특별시 서초구 반포동20-48,37.510024,127.018496,서울특별시 서초구,서초경찰서,설치
어린이집,산성몬테소리,서울특별시 서초구 사평대로 253,서울특별시 서초구 반포동 20-15,37.505245,127.010997,서울특별시 서초구,서초경찰서,설치
초등학교,매헌,서울특별시 서초구 언남길 8,서울특별시 서초구 양재동 311-1,37.471264,127.042077,서울특별시 서초구,서초경찰서,설치
초등학교,반원,서울특별시 서초구 잠원로3길28 ,서울특별시 서초구 잠원동 72-3,37.508212,127.003632,서울특별시 서초구,서초경찰서,설치
유치원,한신,서울특별시 서초구 잠원로3길 25,서울특별시 서초구 잠원동 70-3,37.509045,127.004773,서울특별시 서초구,서초경찰서,설치
어린이집,반포종합사회복지관 사랑의,서울특별시 서초구 신반포로33길 22,서울특별시 서초구 잠원동 60-5,37.509988,127.010958,서울특별시 서초구,서초경찰서,설치
어린이집,양재복지관,서울특별시 서초구 남부순환로 2610,서울특별시 서초구 양재동11-13,37.484491,127.036187,서울특별시 서초구,서초경찰서,설치
어린이집,양재별하,서울특별시 서초구 논현로5길 15-5,서울특별시 서초구 양재동 401-12,37.471941,127.049397,서울특별시 서초구,서초경찰서,설치
어린이집,니꼴라오,서울특별시 서초구 논현로5길 28,서울특별시 서초구 양재동 396-2,37.472065,127.048168,서울특별시 서초구,서초경찰서,설치
어린이집,양재목련,서울특별시 서초구 언남16길 37,서울특별시 서초구 양재동 300-11,37.473446,127.046495,서울특별시 서초구,서초경찰서,설치
어린이집,방배4동,서울특별시 서초구 서초대로19길16,서울특별시 서초구 방배동 873-4,37.487828,126.991262,서울특별시 서초구,방배경찰서,설치
어린이집,서초1동하은,서울특별시 서초구 서초대로58길 35-6,서울특별시 서초구 서초동 1668-15,37.493179,127.018267,서울특별시 서초구,서초경찰서,설치
어린이집,도구머리,서울특별시 서초구 청두곶2길 33,서울특별시 서초구 방배동 산75-3,37.478623,126.987193,서울특별시 서초구,방배경찰서,미설치
어린이집,내곡연두,서울특별시 서초구 헌릉로 226,서울특별시 서초구 내곡동 184-1,37.454949,127.064924,서울특별시 서초구,서초경찰서,설치
어린이집,잠원꿈밭,서울특별시 서초구 강남대로95길 48-58,서울특별시 서초구 잠원동 24-11,37.513722,127.016578,서울특별시 서초구,서초경찰서,미설치
어린이집,방배본동 행복한,서울특별시 서초구 동광로11길 86,서울특별시 서초구 방배동 768-5,37.495021,126.985489,서울특별시 서초구,방배경찰서,설치
어린이집,방배,서울특별시 서초구 방배로19길 36-8,서울특별시 서초구 방배동 321-10,37.485092,126.993052,서울특별시 서초구,방배경찰서,설치
어린이집,서초구립예아,서울특별시 서초구 방배천로18길 36-8,서울특별시 서초구 방배동 436-5,37.482379,126.984571,서울특별시 서초구,방배경찰서,설치
어린이집,서초구립방배열린,서울특별시 서초구 방배로 173,서울특별시 서초구 방배동 852-14,37.489006,126.992243,서울특별시 서초구,방배경찰서,설치
어린이집,현대양재,서울특별시 서초구 염곡말길 17-6,서울특별시 서초구 염곡동 106-1,37.462332,127.052131,서울특별시 서초구,서초경찰서,설치
어린이집,누리아미,서울특별시 서초구 서운로26길 3,서울특별시 서초구 서초동 1302-6,37.502714,127.022212,서울특별시 서초구,서초경찰서,설치
특수학교,나래학교,서울특별시 서초구 염곡안1길 25,서울특별시 서초구 염곡동 72,37.463671,127.051587,서울특별시 서초구,서초경찰서,설치
어린이집,삼성알앤디캠퍼스,서울특별시 서초구 성촌길 67,서울특별시 서초구 우면동 685,37.465706,127.02157,서울특별시 서초구,서초경찰서,설치
어린이집,신반포센트럴자이,서울특별시 서초구 반포대로310-6,서울특별시 서초구 잠원동162,37.506039,127.001776,서울특별시 서초구,서초경찰서,설치
어린이집,SOT어학원,서울특별시 서초구 서초중앙로31길 14-4,서울특별시 서초구 반포동 50-3,37.499927,127.010927,서울특별시 서초구,서초경찰서,설치
외국인학교,코리아외국인학교,서울특별시 서초구 남부순환로364길 7-16,서울특별시 서초구 양재동 2-32,37.484689,127.04106,서울특별시 서초구,서초경찰서,설치
